id,sentence
1,"
    Dear Customer,

    Invoice Number: INV-2023-773
    Invoice Date: 2023-10-18
    Due Date: 2023-3-18

    Billing Information:
    Recipient Name: Alan Pena
    Recipient Address: 582 Carter Terrace, Snydermouth, Maryland 88410

    Product Details:
    - Description: believe Laptop T5
      Quantity: 3
      Unit Price: $368.87
    - Description: speak Scanner H6
      Quantity: 3
      Unit Price: $167.21

    Balance Due: $13380261.132900443

    Thank you for your business!
    "
2,"
    Dear Customer,

    Invoice Number: INV-2023-460
    Invoice Date: 2023-9-10
    Due Date: 2023-10-10

    Billing Information:
    Recipient Name: Stephanie Schroeder
    Recipient Address: 2000 Matthew Street, West Chad, Kentucky 84337

    Product Details:
    - Description: wrong Keyboard T5
      Quantity: 2
      Unit Price: $678.62
    - Description: actually Headphones H6
      Quantity: 3
      Unit Price: $160.52

    Balance Due: $174767601.17652825

    Thank you for your business!
    "
3,"
    Dear Customer,

    Invoice Number: INV-2023-491
    Invoice Date: 2023-12-16
    Due Date: 2023-6-21

    Billing Information:
    Recipient Name: Karen Rodriguez
    Recipient Address: 90445 David Road Apt. 005, West Jason, Maine 15801

    Product Details:
    - Description: no Monitor K4
      Quantity: 2
      Unit Price: $284.99
    - Description: senior Webcam P2
      Quantity: 3
      Unit Price: $162.77

    Balance Due: $119360860.79799388

    Thank you for your business!
    "
4,"
    Dear Customer,

    Invoice Number: INV-2023-405
    Invoice Date: 2023-2-17
    Due Date: 2023-1-14

    Billing Information:
    Recipient Name: Danny Curtis
    Recipient Address: 737 Marisa Parks Apt. 977, Lake Stephen, West Virginia 29109

    Product Details:
    - Description: safe Smartphone K4
      Quantity: 5
      Unit Price: $226.57
    - Description: color Webcam S4
      Quantity: 1
      Unit Price: $73.72

    Balance Due: $251855819.1116692

    Thank you for your business!
    "
5,"
    Dear Customer,

    Invoice Number: INV-2023-332
    Invoice Date: 2023-12-22
    Due Date: 2023-9-15

    Billing Information:
    Recipient Name: Randy Jacobs
    Recipient Address: 86176 Davidson Path, Taylorborough, Wisconsin 09640

    Product Details:
    - Description: hear Keyboard X1
      Quantity: 5
      Unit Price: $908.45
    - Description: fall Mouse H6
      Quantity: 2
      Unit Price: $171.33

    Balance Due: $276174410.7036754

    Thank you for your business!
    "
6,"
    Dear Customer,

    Invoice Number: INV-2023-141
    Invoice Date: 2023-5-8
    Due Date: 2023-9-17

    Billing Information:
    Recipient Name: Pamela Soto
    Recipient Address: 13790 Jacob Walk Apt. 563, Davidside, Texas 75027

    Product Details:
    - Description: meeting Laptop S3
      Quantity: 3
      Unit Price: $66.28
    - Description: do Mouse P2
      Quantity: 1
      Unit Price: $102.02

    Balance Due: $803170986.0828867

    Thank you for your business!
    "
7,"
    Dear Customer,

    Invoice Number: INV-2023-621
    Invoice Date: 2023-3-26
    Due Date: 2023-10-20

    Billing Information:
    Recipient Name: Brianna Salazar
    Recipient Address: 0943 Rivera Shore, Charleschester, Michigan 47716

    Product Details:
    - Description: whatever Laptop M2
      Quantity: 4
      Unit Price: $226.68
    - Description: project Mouse H6
      Quantity: 1
      Unit Price: $59.73

    Balance Due: $910707033.3758153

    Thank you for your business!
    "
8,"
    Dear Customer,

    Invoice Number: INV-2023-747
    Invoice Date: 2023-12-14
    Due Date: 2023-9-3

    Billing Information:
    Recipient Name: Cody Roberts
    Recipient Address: 9054 Jenna Squares Apt. 645, Burnsmouth, Montana 66245

    Product Details:
    - Description: difficult Monitor X1
      Quantity: 1
      Unit Price: $214.65
    - Description: business Scanner H6
      Quantity: 2
      Unit Price: $152.75

    Balance Due: $47672043.60567078

    Thank you for your business!
    "
9,"
    Dear Customer,

    Invoice Number: INV-2023-229
    Invoice Date: 2023-9-13
    Due Date: 2023-9-7

    Billing Information:
    Recipient Name: Susan Mcclain
    Recipient Address: 6800 Rachel Inlet, North Daleside, Wyoming 19425

    Product Details:
    - Description: style Smartphone S3
      Quantity: 4
      Unit Price: $777.34
    - Description: cost Printer S4
      Quantity: 1
      Unit Price: $156.70

    Balance Due: $963578609.6762002

    Thank you for your business!
    "
10,"
    Dear Customer,

    Invoice Number: INV-2023-634
    Invoice Date: 2023-9-6
    Due Date: 2023-10-17

    Billing Information:
    Recipient Name: Joshua Molina
    Recipient Address: 81644 Martinez Gateway, New Joelmouth, South Dakota 74763

    Product Details:
    - Description: detail Laptop K4
      Quantity: 1
      Unit Price: $679.15
    - Description: scientist Scanner P2
      Quantity: 2
      Unit Price: $24.47

    Balance Due: $70069910.3796264

    Thank you for your business!
    "
11,"
    Dear Customer,

    Invoice Number: INV-2023-228
    Invoice Date: 2023-2-16
    Due Date: 2023-1-21

    Billing Information:
    Recipient Name: Kevin Moore
    Recipient Address: 5669 Mark Curve, Baileyshire, Michigan 16513

    Product Details:
    - Description: stop Monitor K4
      Quantity: 3
      Unit Price: $942.38
    - Description: management Mouse W1
      Quantity: 1
      Unit Price: $13.96

    Balance Due: $838529833.6524934

    Thank you for your business!
    "
12,"
    Dear Customer,

    Invoice Number: INV-2023-784
    Invoice Date: 2023-5-8
    Due Date: 2023-4-12

    Billing Information:
    Recipient Name: Richard Martinez
    Recipient Address: 16064 James Plains Apt. 005, Port Gregory, Indiana 59828

    Product Details:
    - Description: travel Monitor X1
      Quantity: 1
      Unit Price: $429.53
    - Description: radio Mouse P2
      Quantity: 5
      Unit Price: $169.95

    Balance Due: $568674572.0589911

    Thank you for your business!
    "
13,"
    Dear Customer,

    Invoice Number: INV-2023-384
    Invoice Date: 2023-6-26
    Due Date: 2023-5-4

    Billing Information:
    Recipient Name: Mary Kane
    Recipient Address: 456 Maldonado Ways Apt. 930, New Brianton, New Hampshire 09789

    Product Details:
    - Description: list Smartphone M2
      Quantity: 3
      Unit Price: $127.21
    - Description: point Printer S4
      Quantity: 5
      Unit Price: $98.85

    Balance Due: $146471761.12295967

    Thank you for your business!
    "
14,"
    Dear Customer,

    Invoice Number: INV-2023-955
    Invoice Date: 2023-8-15
    Due Date: 2023-11-13

    Billing Information:
    Recipient Name: Kristi Mays
    Recipient Address: 491 Spencer Stream Suite 863, Mariebury, Pennsylvania 01976

    Product Details:
    - Description: hospital Smartphone X1
      Quantity: 5
      Unit Price: $150.65
    - Description: result Headphones W1
      Quantity: 5
      Unit Price: $115.46

    Balance Due: $800553295.6678692

    Thank you for your business!
    "
15,"
    Dear Customer,

    Invoice Number: INV-2023-447
    Invoice Date: 2023-7-15
    Due Date: 2023-4-13

    Billing Information:
    Recipient Name: Sara Stanley
    Recipient Address: 700 Carlos Lock Apt. 644, West Morgan, Georgia 98830

    Product Details:
    - Description: production Laptop S3
      Quantity: 2
      Unit Price: $384.09
    - Description: art Printer S4
      Quantity: 4
      Unit Price: $49.52

    Balance Due: $88238448.09202904

    Thank you for your business!
    "
16,"
    Dear Customer,

    Invoice Number: INV-2023-266
    Invoice Date: 2023-8-7
    Due Date: 2023-5-25

    Billing Information:
    Recipient Name: Jennifer Hall
    Recipient Address: 193 Natalie Mill, Mikaylatown, New York 69650

    Product Details:
    - Description: result Keyboard M2
      Quantity: 5
      Unit Price: $744.61
    - Description: go Webcam P2
      Quantity: 5
      Unit Price: $184.42

    Balance Due: $799789079.0232704

    Thank you for your business!
    "
17,"
    Dear Customer,

    Invoice Number: INV-2023-889
    Invoice Date: 2023-8-24
    Due Date: 2023-6-20

    Billing Information:
    Recipient Name: Jonathan Downs
    Recipient Address: 602 Thompson Points Suite 681, Lynnport, Virginia 97818

    Product Details:
    - Description: run Tablet M2
      Quantity: 1
      Unit Price: $566.22
    - Description: rock Scanner S4
      Quantity: 4
      Unit Price: $73.22

    Balance Due: $338871762.2005663

    Thank you for your business!
    "
18,"
    Dear Customer,

    Invoice Number: INV-2023-600
    Invoice Date: 2023-4-25
    Due Date: 2023-2-12

    Billing Information:
    Recipient Name: Sharon Smith
    Recipient Address: 02093 Shawn Cliffs, West Danielton, New Mexico 80573

    Product Details:
    - Description: wind Monitor K4
      Quantity: 2
      Unit Price: $657.45
    - Description: between Mouse H6
      Quantity: 1
      Unit Price: $178.77

    Balance Due: $771360388.8536078

    Thank you for your business!
    "
19,"
    Dear Customer,

    Invoice Number: INV-2023-788
    Invoice Date: 2023-6-19
    Due Date: 2023-5-7

    Billing Information:
    Recipient Name: Tamara Gordon
    Recipient Address: 4799 Sullivan Mills, New Leah, Oregon 07176

    Product Details:
    - Description: consumer Monitor T5
      Quantity: 3
      Unit Price: $514.28
    - Description: direction Headphones H6
      Quantity: 2
      Unit Price: $31.52

    Balance Due: $91807865.16869797

    Thank you for your business!
    "
20,"
    Dear Customer,

    Invoice Number: INV-2023-681
    Invoice Date: 2023-1-5
    Due Date: 2023-6-3

    Billing Information:
    Recipient Name: Ashley Kim
    Recipient Address: 102 Soto Loaf Apt. 789, East Aaron, Rhode Island 91171

    Product Details:
    - Description: along Smartphone K4
      Quantity: 1
      Unit Price: $917.44
    - Description: after Mouse M3
      Quantity: 1
      Unit Price: $90.00

    Balance Due: $456143116.1728757

    Thank you for your business!
    "
21,"
    Dear Customer,

    Invoice Number: INV-2023-111
    Invoice Date: 2023-2-6
    Due Date: 2023-11-6

    Billing Information:
    Recipient Name: Brad Morrison
    Recipient Address: 88529 Martinez Mills, Kyleland, Illinois 02018

    Product Details:
    - Description: meeting Laptop S3
      Quantity: 3
      Unit Price: $206.16
    - Description: already Webcam W1
      Quantity: 4
      Unit Price: $173.01

    Balance Due: $415936339.4691544

    Thank you for your business!
    "
22,"
    Dear Customer,

    Invoice Number: INV-2023-733
    Invoice Date: 2023-6-11
    Due Date: 2023-9-4

    Billing Information:
    Recipient Name: Ryan Phillips
    Recipient Address: 963 Corey Walk, West Natalie, Mississippi 80582

    Product Details:
    - Description: figure Monitor M2
      Quantity: 5
      Unit Price: $943.11
    - Description: suggest Headphones S4
      Quantity: 5
      Unit Price: $98.66

    Balance Due: $386897107.5745006

    Thank you for your business!
    "
23,"
    Dear Customer,

    Invoice Number: INV-2023-431
    Invoice Date: 2023-8-15
    Due Date: 2023-10-15

    Billing Information:
    Recipient Name: Edward Sparks
    Recipient Address: 813 Warren Street Suite 325, West George, Kentucky 15992

    Product Details:
    - Description: security Laptop M2
      Quantity: 1
      Unit Price: $390.34
    - Description: how Mouse H6
      Quantity: 3
      Unit Price: $188.65

    Balance Due: $19536892.304151207

    Thank you for your business!
    "
24,"
    Dear Customer,

    Invoice Number: INV-2023-424
    Invoice Date: 2023-3-20
    Due Date: 2023-6-8

    Billing Information:
    Recipient Name: Ashley Johnson
    Recipient Address: 164 Brown Mountains Apt. 328, New Kaylamouth, Minnesota 15149

    Product Details:
    - Description: thing Keyboard T5
      Quantity: 4
      Unit Price: $118.44
    - Description: oil Printer W1
      Quantity: 2
      Unit Price: $48.10

    Balance Due: $454289095.86708385

    Thank you for your business!
    "
25,"
    Dear Customer,

    Invoice Number: INV-2023-636
    Invoice Date: 2023-3-10
    Due Date: 2023-11-5

    Billing Information:
    Recipient Name: Gabriel Wright
    Recipient Address: 51221 Mendoza Causeway Suite 237, Washingtonbury, Montana 33799

    Product Details:
    - Description: behind Monitor S3
      Quantity: 4
      Unit Price: $177.32
    - Description: begin Headphones P2
      Quantity: 4
      Unit Price: $115.41

    Balance Due: $845912154.8652122

    Thank you for your business!
    "
26,"
    Dear Customer,

    Invoice Number: INV-2023-206
    Invoice Date: 2023-8-18
    Due Date: 2023-9-13

    Billing Information:
    Recipient Name: Natasha Lopez
    Recipient Address: 297 Hopkins Crescent, South Todd, New Jersey 47394

    Product Details:
    - Description: hit Laptop S3
      Quantity: 2
      Unit Price: $243.40
    - Description: lose Webcam M3
      Quantity: 4
      Unit Price: $12.56

    Balance Due: $220827983.26545337

    Thank you for your business!
    "
27,"
    Dear Customer,

    Invoice Number: INV-2023-411
    Invoice Date: 2023-3-26
    Due Date: 2023-7-18

    Billing Information:
    Recipient Name: Timothy Perkins
    Recipient Address: 2806 Katherine Trail Suite 693, Rodriguezview, Minnesota 54895

    Product Details:
    - Description: despite Monitor X1
      Quantity: 2
      Unit Price: $571.95
    - Description: agent Printer W1
      Quantity: 2
      Unit Price: $191.54

    Balance Due: $570069928.9377451

    Thank you for your business!
    "
28,"
    Dear Customer,

    Invoice Number: INV-2023-684
    Invoice Date: 2023-8-8
    Due Date: 2023-8-28

    Billing Information:
    Recipient Name: David Gardner
    Recipient Address: 38100 Mark Way, Lake Diana, Hawaii 26965

    Product Details:
    - Description: most Keyboard K4
      Quantity: 4
      Unit Price: $517.08
    - Description: investment Webcam P2
      Quantity: 4
      Unit Price: $14.59

    Balance Due: $846610558.5208905

    Thank you for your business!
    "
29,"
    Dear Customer,

    Invoice Number: INV-2023-258
    Invoice Date: 2023-2-19
    Due Date: 2023-6-20

    Billing Information:
    Recipient Name: Stacy Ruiz
    Recipient Address: 043 Jose Islands Apt. 951, Jonathanland, Washington 87024

    Product Details:
    - Description: relationship Monitor M2
      Quantity: 1
      Unit Price: $775.02
    - Description: southern Headphones M3
      Quantity: 4
      Unit Price: $56.12

    Balance Due: $709339923.3812739

    Thank you for your business!
    "
30,"
    Dear Customer,

    Invoice Number: INV-2023-576
    Invoice Date: 2023-8-10
    Due Date: 2023-7-20

    Billing Information:
    Recipient Name: John Hayes
    Recipient Address: 21313 Morgan Mission Apt. 950, Jacobhaven, Maryland 84237

    Product Details:
    - Description: seven Laptop K4
      Quantity: 2
      Unit Price: $252.38
    - Description: real Mouse M3
      Quantity: 2
      Unit Price: $13.87

    Balance Due: $875858972.508726

    Thank you for your business!
    "
31,"
    Dear Customer,

    Invoice Number: INV-2023-224
    Invoice Date: 2023-12-22
    Due Date: 2023-8-2

    Billing Information:
    Recipient Name: Shannon Clark
    Recipient Address: 16042 Smith Throughway, Cobbberg, Alabama 17761

    Product Details:
    - Description: there Tablet K4
      Quantity: 1
      Unit Price: $489.35
    - Description: TV Mouse P2
      Quantity: 3
      Unit Price: $83.55

    Balance Due: $507496717.3780477

    Thank you for your business!
    "
32,"
    Dear Customer,

    Invoice Number: INV-2023-214
    Invoice Date: 2023-2-1
    Due Date: 2023-6-10

    Billing Information:
    Recipient Name: Dustin Moreno
    Recipient Address: 4212 Colon Expressway Suite 077, New Williamland, Florida 63128

    Product Details:
    - Description: heart Laptop X1
      Quantity: 2
      Unit Price: $440.46
    - Description: ahead Scanner S4
      Quantity: 1
      Unit Price: $12.56

    Balance Due: $898824397.1075625

    Thank you for your business!
    "
33,"
    Dear Customer,

    Invoice Number: INV-2023-917
    Invoice Date: 2023-12-27
    Due Date: 2023-5-1

    Billing Information:
    Recipient Name: Rachel Mcclure
    Recipient Address: 118 Miller Forks, Johnsonburgh, Missouri 52514

    Product Details:
    - Description: meet Smartphone K4
      Quantity: 1
      Unit Price: $188.87
    - Description: truth Webcam M3
      Quantity: 2
      Unit Price: $101.99

    Balance Due: $255459670.0381757

    Thank you for your business!
    "
34,"
    Dear Customer,

    Invoice Number: INV-2023-588
    Invoice Date: 2023-3-18
    Due Date: 2023-11-19

    Billing Information:
    Recipient Name: Michael Diaz
    Recipient Address: 80270 Lisa Wall Apt. 737, West Jaytown, Virginia 25053

    Product Details:
    - Description: Republican Keyboard X1
      Quantity: 3
      Unit Price: $278.84
    - Description: data Printer S4
      Quantity: 4
      Unit Price: $40.26

    Balance Due: $259015891.08059117

    Thank you for your business!
    "
